	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 3.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 3.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 3.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 3.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 3.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 3.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 3.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 3.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 3.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 3.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 3.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 3.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 3.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 3.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 3.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 3.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 3.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 3.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 3.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 3.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 3.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 3.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 3.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 3.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 3.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 3.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 3.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 3.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 3.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 3.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 3.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 3.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 3.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 3.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 3.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 3.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 3.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 3.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 3.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 3.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 3.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 3.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 3.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 3.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 3.c3d
	FRAMES	TIME	Pelvis_Ang_Vel	Thorax_Ang_Vel	Pitching_Humerus_Ang_Vel	Pitching_Hand_Ang_Vel	Trunk_wrt_Pelvis_Angle	Trunk_Angle	Trunk_Angle	Trunk_Angle	Lead_Knee_Angle	STRIDE_LENGTH	STRIDE_LENGTH_MEAN_PERCENT	Pitching_Shoulder_Angle	Pitching_Shoulder_Angle	Pitching_Shoulder_Angle	Pitching_Shoulder_Ang_Vel	Pitching_Elbow_Ang_Vel	FP1	FP1	FP1	FP2	FP2	FP2	FP1	FP1	FP1	FP2	FP2	FP2	FP1	FP1	FP1	FP2	FP2	FP2	MaxKneeHeight	Footstrike	Max_Shoulder_Int_Rot	Release	Release100msAfter	COM_displacement	Pitching_Elbow_Ang_Vel	Pitching_Elbow_Ang_Vel	Pitching_Elbow_Ang_Vel
	FRAME_NUMBERS	FRAME_NUMBERS	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	METRIC	METRIC	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	FORCE	FORCE	FORCE	FORCE	FORCE	FORCE	COFP	COFP	COFP	COFP	COFP	COFP	FREEMOMENT	FREEMOMENT	FREEMOMENT	FREEMOMENT	FREEMOMENT	FREEMOMENT	EVENT_LABEL	EVENT_LABEL	EVENT_LABEL	EVENT_LABEL	EVENT_LABEL	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	PROCESSED	PROCESSED	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	STRIDE_LENGTH	STRIDE_LENGTH	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	PROCESSED	PROCESSED	PROCESSED
ITEM	0	0	Z	Z	Z	X	Z	X	Y	Z	X	X	X	X	Y	Z	Z	X	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	0	0	0	0	0	Y	X	Y	Z
1	1.00000	0.00000					-1.10206	2.25513	-1.09380	84.52908	7.95256	1.43931	80.37717	-15.89992	16.30847	-60.07120			0.00000	0.00000	0.00000	-8.69762	4.75182	932.02783				0.22285	0.35288	0.00620	0.00000	0.00000	0.00000	-0.00668	0.00381	3.12556	2.48333	4.40333	4.28667	4.60333	4.70333	0.33713			
2	2.00000	0.00333	60.97187	1.52611	306.58536	302.25278	-1.00643	2.25953	-1.12640	84.49869	8.00653			-15.76676	17.09776	-60.94630	-305.25198	-1.94080	0.00000	0.00000	0.00000	-6.84315	3.20146	931.00592				0.22076	0.35529	0.00619	0.00000	0.00000	0.00000	-0.00693	0.00396	3.24082						0.33736	-1.94080	6.67444	289.26093
3	3.00000	0.00667	38.45374	-5.05505	135.16878	714.06561	-0.66922	2.30222	-1.08586	84.51497	8.06691			-14.81944	17.80586	-61.07842	-190.28909	-0.71640	0.00000	0.00000	0.00000	-6.93316	2.88839	930.93237				0.22064	0.35535	0.00619	0.00000	0.00000	0.00000	-0.00653	0.00373	3.05412						0.33760	-0.71640	-3.71411	225.91006
4	4.00000	0.01000	17.93969	-10.64601	-46.20685	290.71082	-0.61197	2.31395	-1.05926	84.55865	8.06946			-14.55166	17.73562	-60.77037	-86.72035	0.67065	0.00000	0.00000	0.00000	-6.97731	2.65641	930.99518				0.22058	0.35541	0.00619	0.00000	0.00000	0.00000	-0.00613	0.00350	2.87027						0.33762	0.67065	-10.51006	211.02649
5	5.00000	0.01333	1.23464	-14.60499	-74.89121	124.21655	-0.56932	2.32399	-1.03141	84.61619	8.07340			-14.30430	17.60729	-60.39395	-3.07095	2.27017	0.00000	0.00000	0.00000	-6.90282	2.65488	930.79596				0.22055	0.35545	0.00619	0.00000	0.00000	0.00000	-0.00617	0.00352	2.88567						0.33763	2.27017	-11.89970	261.77374
6	6.00000	0.01667	-10.56926	-16.60435	-99.25168	-159.53867	-0.54479	2.33061	-1.00543	84.68313	8.08342			-14.11407	17.43740	-59.98987	57.63773	4.13576	0.00000	0.00000	0.00000	-6.79767	2.87810	930.58270				0.22045	0.35550	0.00619	0.00000	0.00000	0.00000	-0.00661	0.00377	3.09107						0.33765	4.13576	-7.24113	374.67471
7	7.00000	0.02000	-17.23225	-16.63799	-116.92215	-571.81445	-0.54011	2.33274	-0.98336	84.75194	8.10324			-14.02086	17.24613	-59.60627	96.97244	6.29615	0.00000	0.00000	0.00000	-6.82365	3.06607	930.43396				0.22034	0.35554	0.00619	0.00000	0.00000	0.00000	-0.00690	0.00394	3.22621						0.33767	6.29615	3.10241	527.90961
8	8.00000	0.02333	-19.14149	-14.98069	-125.99470	-1107.19495	-0.55340	2.33044	-0.96560	84.81379	8.13388			-14.06342	17.05717	-59.29860	118.73819	8.71541	0.00000	0.00000	0.00000	-6.93623	3.13599	930.31512				0.22023	0.35562	0.00619	0.00000	0.00000	0.00000	-0.00694	0.00396	3.24537						0.33769	8.71541	17.92240	687.12659
9	9.00000	0.02667	-17.08331	-12.11504	-126.54493	-1723.67212	-0.57826	2.32508	-0.95134	84.86140	8.17236			-14.27411	16.89428	-59.12202	127.14676	11.26207	0.00000	0.00000	0.00000	-6.96991	3.13262	930.30664				0.22014	0.35568	0.00619	0.00000	0.00000	0.00000	-0.00692	0.00395	3.23659						0.33770	11.26207	35.26876	813.06079
10	10.00000	0.03000	-12.11253	-8.62221	-120.53809	-2326.35425	-0.60491	2.31907	-0.93947	84.89140	8.21200			-14.66919	16.77647	-59.11577	125.89688	13.70051	0.00000	0.00000	0.00000	-6.89424	3.13017	930.41772				0.22009	0.35571	0.00619	0.00000	0.00000	0.00000	-0.00698	0.00398	3.26440						0.33770	13.70051	52.61937	870.62000
11	11.00000	0.03333	-5.44281	-5.05532	-110.32631	-2768.74902	-0.62276	2.31507	-0.92967	84.90491	8.24443			-15.23595	16.71425	-59.28659	117.81897	15.71351	0.00000	0.00000	0.00000	-6.80659	3.10767	930.41510				0.22008	0.35575	0.00619	0.00000	0.00000	0.00000	-0.00701	0.00400	3.28024						0.33767	15.71351	67.20170	838.02283
12	12.00000	0.03667	1.67768	-1.83361	-97.42540	-2906.92578	-0.62345	2.31504	-0.92272	84.90623	8.26250			-15.92487	16.70798	-59.60160	104.83768	16.96056	0.00000	0.00000	0.00000	-6.78130	2.98766	930.38348				0.22007	0.35578	0.00619	0.00000	0.00000	0.00000	-0.00684	0.00391	3.20031						0.33762	16.96056	76.47028	713.27069
13	13.00000	0.04000	8.10383	0.80794	-82.58401	-2690.50244	-0.60336	2.31958	-0.91999	84.90044	8.26240			-16.65514	16.74813	-59.99514	88.10516	17.16419	0.00000	0.00000	0.00000	-6.78955	2.77152	930.36035				0.22006	0.35581	0.00619	0.00000	0.00000	0.00000	-0.00648	0.00370	3.03330						0.33756	17.16419	78.62943	514.90765
14	14.00000	0.04333	12.92380	2.80243	-65.97711	-2189.15918	-0.56475	2.32771	-0.92234	84.89139	8.24434			-17.33493	16.81728	-60.38815	68.22980	16.19784	0.00000	0.00000	0.00000	-6.79398	2.62311	930.25562				0.22005	0.35585	0.00619	0.00000	0.00000	0.00000	-0.00623	0.00356	2.91696						0.33750	16.19784	73.02481	275.71664
15	15.00000	0.04667	15.55843	4.18608	-46.90876	-1522.99548	-0.51481	2.33738	-0.92929	84.88065	8.21206			-17.88904	16.89477	-60.71626	45.56274	14.13870	0.00000	0.00000	0.00000	-6.79410	2.71474	930.12347				0.22001	0.35593	0.00619	0.00000	0.00000	0.00000	-0.00638	0.00365	2.98693						0.33745	14.13870	60.26324	31.43930
16	16.00000	0.05000	15.81542	5.02063	-24.12193	-788.82983	-0.46352	2.34620	-0.93883	84.86788	8.17109			-18.28125	16.96296	-60.95525	20.51630	11.25865	0.00000	0.00000	0.00000	-6.79496	2.90128	930.05054				0.21995	0.35603	0.00619	0.00000	0.00000	0.00000	-0.00669	0.00382	3.13260						0.33742	11.25865	42.03120	-190.42883
17	17.00000	0.05333	13.89170	5.34049	3.07017	-44.14535	-0.42171	2.35221	-0.94820	84.85207	8.12647			-18.52143	17.01225	-61.12888	-6.13870	7.95529	0.00000	0.00000	0.00000	-6.79678	2.93288	929.85156				0.21990	0.35612	0.00619	0.00000	0.00000	0.00000	-0.00675	0.00386	3.15995						0.33743	7.95529	20.69366	-376.58801
